,53540001_FLU,53620000_FLU,53630000_FLU,53650000_FLU,53732000_FLU,53780000_FLU,53880000_FLU,53950000_FLU
1970-04-14,31.669,30.598,22.89,32.122,,11.095,55.542,56.51
1970-04-15,34.431,32.776,21.636,32.745,,11.095,63.973,62.951
1970-04-16,37.257,36.599,28.033,31.504,,10.246,64.838,67.058
1970-04-17,36.545,36.599,31.233,36.586,,9.453,63.973,67.058
1970-04-18,35.836,34.276,31.795,37.905,,9.453,61.402,65.408
1970-04-19,35.131,32.04,30.133,37.243,,9.453,60.553,63.767
1970-04-20,33.734,30.598,27.03,32.122,,9.712,64.838,65.408
1970-04-21,31.669,29.892,26.059,30.891,,9.712,63.112,67.058
1970-04-22,29.642,29.195,25.584,30.283,,10.806,60.553,64.586
1970-04-23,29.004,29.195,24.657,29.68,,11.692,59.708,62.951
1970-04-24,29.642,30.598,26.541,29.68,,12.639,60.553,62.951
1970-04-25,30.313,32.776,27.528,29.081,,12.969,63.112,64.586
1970-04-26,31.669,35.04,30.679,29.68,,12.639,63.973,66.231
1970-04-27,34.431,35.04,31.795,36.586,,12.317,64.838,67.058
1970-04-28,35.131,34.276,30.679,35.286,,11.095,65.707,67.886
1970-04-29,32.353,33.521,29.596,35.286,,10.246,65.707,68.717
1970-04-30,30.313,30.598,28.546,34.006,,9.712,63.112,67.058
1970-05-01,29.642,29.892,26.541,32.122,,9.453,61.402,64.586
1970-05-02,27.675,27.83,25.117,30.283,,9.453,58.029,62.137
1970-05-03,26.384,26.503,23.76,28.488,,9.2,55.542,58.906
1970-05-04,25.132,26.503,23.321,27.9,,8.953,53.905,57.306
1970-05-05,24.52,25.214,22.047,27.317,,8.712,50.681,54.138
1970-05-06,24.52,25.214,21.636,26.739,,8.712,49.885,52.569
1970-05-07,23.918,23.962,21.231,26.166,,8.712,48.307,51.012
1970-05-08,23.918,23.962,20.833,26.739,,8.712,47.524,50.238
1970-05-09,23.918,23.962,20.441,25.036,,9.2,47.524,49.466
1970-05-10,23.918,23.349,20.441,25.036,,8.953,46.746,49.466
1970-05-11,23.918,22.746,19.677,24.479,,9.976,48.307,49.466
1970-05-12,23.324,23.349,19.304,24.479,,10.246,48.307,50.238
1970-05-13,23.324,22.746,19.304,24.479,,11.39,49.885,51.012
1970-05-14,23.324,22.153,18.921,23.379,,10.246,50.681,52.569
1970-05-15,22.74,22.153,18.543,23.379,,11.095,53.093,54.138
1970-05-16,22.74,21.568,18.543,23.379,,12.001,53.093,55.716
1970-05-17,22.165,21.568,18.543,23.379,,11.39,53.905,55.716
1970-05-18,22.165,21.568,18.168,22.837,,10.806,52.285,55.716
1970-05-19,21.6,21.568,18.168,22.837,,9.976,49.094,52.569
1970-05-20,21.6,20.992,18.168,21.77,,9.712,47.524,50.238
1970-05-21,21.6,20.992,18.168,21.77,,8.953,45.202,47.931
1970-05-22,21.6,20.992,17.798,21.77,,8.953,44.437,46.408
1970-05-23,21.6,20.992,17.798,21.77,,8.712,44.437,46.408
1970-05-24,21.043,20.992,17.069,21.243,,8.953,44.437,46.408
1970-05-25,21.043,20.426,17.069,21.243,,9.2,44.437,46.408
1970-05-26,21.043,20.426,17.069,21.243,,12.969,45.202,47.168
1970-05-27,21.043,20.426,16.71,21.243,,16.678,45.972,47.931
1970-05-28,21.043,20.426,16.71,21.243,,13.305,53.905,52.569
1970-05-29,21.043,20.426,17.069,21.243,,11.692,56.367,57.306
1970-05-30,21.043,19.868,17.069,21.243,,10.806,52.285,56.51
1970-05-31,21.043,19.868,17.431,21.243,,10.806,49.094,52.569
1970-06-01,20.495,17.727,17.798,21.77,,10.246,49.094,51.012
1970-06-02,20.495,17.727,18.168,22.301,,12.969,48.307,51.012
1970-06-03,20.495,17.727,17.798,22.301,,12.969,50.681,51.789
1970-06-04,20.495,18.249,17.798,21.77,,11.692,54.722,54.926
1970-06-05,19.957,18.249,17.431,21.77,,11.39,53.905,56.51
